海洋馆信息管理,Aquarium information management
景区管理,Scenic spot management
景区列表,Scenic spot list
游戏管理,Game management
题库管理,Question database management
角色管理,Role management
角色列表,Role list
生物管理,Creature management
生物列表,Creature list
产品管理,Product management
门票列表,Ticket list
门票管理,Ticket management
产品列表,Product list
奖品管理,Prize management
奖品列表,Prize list
条形码管理,Barcode management
条形码列表,Barcode list
订单管理,Order management
产品订单,Sales record
兑换记录,Redemption record
设置,Settings
库存预警,WeChat store-low inventory
banner 设置,Banner settings
海洋馆名称,Aquarium name
新增内容,Add new content
标题,Title
请输入内容,Please enter content
内容,Content
请输入标题,Please enter a title
新增景区,Add a new scenic spot
景区名称,Scenic spot name
楼层,Floor
景区介绍,Scenic spot description
所在楼层,Current floor
景区位置 X,Scenic spot location X
景区位置 Y,Scenic spot location Y
关联优惠券,Associated coupon
关联题目,Associated question
关联生物,Associated creature
题目,Question
发布时间,Released time
选项,Options
答案,Answer
选项图片,Option picture
正确答案,Correct answer
答案解析,Answer explanation
请输入答案解析,Please enter answer explanation
请录入该题的可选答案，并标记正确选项,"Please enter an optional answer for this question, and mark the correct option"
答对积分：{num} 积分,Points for correct answer: {num} points
答错积分：{num} 积分,Points for wrong answer: {num} points
等级,Level
角色名称,Role name
答对题目数,Total number of correct answers
分享配图,Share the picture
角色介绍,Role description
生物名称,Creature name
生物介绍,Creature description
请输入生物介绍,Please enter the creature description
门票名称,Ticket name
新增门票,Add tickets
列表封面图,List cover image
详情页轮播图,Detailed page image carousel
订单图,Order picture
门票说明,Ticket description
购买须知,Purchase information
票种名称,Ticket category name
票种描述,Ticket category description
新增票种,Add a ticket category
票价,Ticket price
库存,Inventory
新增产品,New product
是否限购,Whether to limit purchases
是否促销门票,Whether to offer a discount for the ticket price
优惠价格,Discounted price
产品图片,Product picture
奖品名称,Prize name
奖品分类,Prize category
积分,Points
优惠大礼,Welcome offer
区域优惠券,Promotion coupon
游戏礼物,Game gift
兑换条件,Redemption conditions
是否限制兑换,Whether to limit redemption
奖品数量,Number of prizes
选择门票名称,Select a ticket name
选择票种,Select a ticket category
批量删除,Batch delete
是否已经备份导出对应的数据,Whether the corresponding data has been backed up and exported
票务系统订单号,Ticketing system order number
条形码,Barcode
有效期开始时间,Start of validity period
有效期结束时间,End of validity period
订单号,WeChat Order number
订单状态,Order status
联系人,Contact person
手机号,Mobile number
数量,Quantity
订单总额,Total amount for the order
支付方式,Payment method
联系人信息,Details of contact person
下单时间,Order time
请输入兑换码,Please enter the redemption code
名称,Name
兑换码,Redemption code
核销时间,Write-off time
兑换时间,Redemption time
操作人,Operator
启用库存预警功能,Enable weChat store-low inventory
设置默认库存预警值,Set default weChat store-low inventory value
预警信息提示邮箱,Alert information mailbox
banner 图,Banner image
跳转地址,Jump to address
新增 banner,Add a new banner
上架,Add to shelf
下架,Remove from shelf
编辑,Edit
核销,Write-off
二维码,QR code
删除,Delete
退款,Refund
查看,View
已上架,Added to shelf
已下架,Removed from shelf
已支付,Paid
交易关闭,Transaction closed
已退款,Refunded
待支付,To be paid
已取消,Cancelled
未兑换,Not redeemed
处理中,Processing
已售出,Sold
已过期,Expired
已兑换,Redeemed
否,No
是,Yes
导出列表,Export list
查询,Inquire
选择状态,Select status
状态,Status
图片,Image
所在位置,Current location
操作,Operate
取消,Cancel
保存,Save
详情页大图,Big picture for detailed page
封面图,Cover image
中文名称,Chinese name
英文名称,English name
序号,Serial number
请输入门票名称,Please enter the ticket name
请输入门票英文名称,Please enter the ticket name in English
请选择封面图,Please select the cover image
请选择列表图,Please select the list image
请选择详情页大图,Please select the big picture for detailed page
请输入票种名称,Please enter the ticket category name
请输入票种描述,Please enter the ticket category description
请选择门票名称,Please select the ticket name
请选择票种,Please select the ticket category
请输入票价,Please enter the ticket price
请上传产品图片,Please upload the product picture
请输入奖品名称,Please enter the prize name
请上传奖品图片,Please upload a prize picture
请输入兑换条件,Please enter the redemption conditions
请输入奖品数量,Please enter the number of prizes
注意：导出列表操作频率最多为一分钟一次，否则会导出失败,"Note: The export list can be operated only once per minute, otherwise the export will fail."
请上传 banner 图,Please upload the banner image
请输入跳转地址,Please enter an address to jump to
请输入中文名称,Please enter the Chinese name
请输入英文名称,Please enter the English name
请输入内容,Please enter content
请输入景区中文名称,Please enter the Chinese name of this scenic spot
请输入景区英文名称,Please enter the English name of this scenic spot
请选择景区所在楼层,Please select the floor of the scenic spot
请输入景区的 X 坐标,Please enter the X coordinate of the scenic spot
请输入景区的 Y 坐标,Please enter the Y coordinate of the scenic spot
请上传详情页大图,Please upload the big picture for detailed page
请输入题目,Please enter a question
请输入答案,Please enter the answer
请输入答案解析,Please enter the answer explanation
请输入生物介绍,Please enter the creature description
保存成功,Saved
请输入正确的内容,Please enter the correct content
数据导入成功,Data imported
数据导入失败,Data import failed
库存已更新,Inventory updated
上架成功,Added to shelf
下架成功,Removed from shelf
预警,Alert
请输入校验条件,Please enter the verification conditions
请输入正确的限制条件,Please enter the correct restrictions
保存失败,Failed to save
请选择正确的文件,Please select the correct file
图片大小不能超过 200 K,Picture size cannot exceed 200K
图片上传成功,Picture uploaded
支持 PNG，JPG，图片大小不超过 200 K，建议像素为,"Supports PNG, JPG, picture size cannot exceed 200K, recommended pixels are"
数据导出失败,Failed to export data
删除成功,Deleted
确定执行本次核销操作,Confirm that you want to execute the write-off operation
待核销,To be write-off
已核销,Written-off
已关闭,Closed
已过期,Expired
确认删除,Confirm that you want to delete
图片上传成功,Picture uploaded
每个微信ID号 {num} 天内可购买 {num} 份,Each WeChat ID can purchase {num} copies in {num} days
每个微信ID号 {num} 天内可兑换 {num} 次,Each WeChat ID can redeem {num} times in {num} days
创建时间,Time created
新增生物,Add creature
编辑景区,Edit scenic spot
温馨提示,Tips
该题目已与景区产生绑定关系，点击「OK」前往景区列表解绑后才能下架,"The question has been associated to the scenic spot. Click ""OK"" to go to the scenic spot list to dissociate it before you can remove it."
共 {num} 条数据,{num} data total
编辑生物,Edit creature
题库列表,Question database list
编辑题目,Edit question
票种列表,Ticket category list
确定执行此操作,Confirm that you want to execute this operation
编辑票种,Edit ticket category
导入,Import
